,support,itemsets
0,0.03470715835140998,frozenset({' SPACEBOY BABY GIFT SET'})
1,0.026030368763557483,frozenset({'10 COLOUR SPACEBOY PEN'})
2,0.03036876355748373,frozenset({'3 PIECE SPACEBOY COOKIE CUTTER SET'})
3,0.039045553145336226,frozenset({'36 PENCILS TUBE RED RETROSPOT'})
4,0.06073752711496746,frozenset({'4 TRADITIONAL SPINNING TOPS'})
5,0.021691973969631236,frozenset({'6 GIFT TAGS VINTAGE CHRISTMAS '})
6,0.02386117136659436,frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'})
7,0.0824295010845987,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
8,0.026030368763557483,frozenset({'ALARM CLOCK BAKELIKE IVORY'})
9,0.0368763557483731,frozenset({'ALARM CLOCK BAKELIKE ORANGE'})
10,0.08676789587852494,frozenset({'ALARM CLOCK BAKELIKE PINK'})
11,0.08026030368763558,frozenset({'ALARM CLOCK BAKELIKE RED '})
12,0.0368763557483731,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
13,0.05856832971800434,frozenset({'ASSORTED COLOUR MINI CASES'})
14,0.06941431670281996,frozenset({'BAKING SET 9 PIECE RETROSPOT '})
15,0.03036876355748373,frozenset({'BAKING SET SPACEBOY DESIGN'})
16,0.02386117136659436,frozenset({'BIG DOUGHNUT FRIDGE MAGNETS'})
17,0.028199566160520606,frozenset({'BLACK/BLUE POLKADOT UMBRELLA'})
18,0.04338394793926247,frozenset({'BLUE HARMONICA IN BOX '})
19,0.028199566160520606,frozenset({'BLUE POLKADOT CUP'})
20,0.02386117136659436,"frozenset({""BOX OF 6 MINI 50'S CRACKERS""})"
21,0.021691973969631236,frozenset({'BOX OF 6 MINI VINTAGE CRACKERS'})
22,0.03253796095444685,frozenset({'BUNDLE OF 3 ALPHABET EXERCISE BOOKS'})
23,0.026030368763557483,frozenset({'CAKE STAND WHITE TWO TIER LACE'})
24,0.026030368763557483,frozenset({'CARD DOLLY GIRL '})
25,0.05856832971800434,frozenset({'CHARLOTTE BAG APPLES DESIGN'})
26,0.05639913232104121,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'})
27,0.049891540130151846,frozenset({'CHARLOTTE BAG PINK POLKADOT'})
28,0.0368763557483731,frozenset({'CHARLOTTE BAG SUKI DESIGN'})
29,0.04338394793926247,"frozenset({""CHILDREN'S APRON DOLLY GIRL ""})"
30,0.026030368763557483,"frozenset({""CHILDREN'S CIRCUS PARADE MUG""})"
31,0.026030368763557483,"frozenset({""CHILDREN'S SPACEBOY MUG""})"
32,0.0368763557483731,frozenset({'CHILDRENS APRON APPLES DESIGN'})
33,0.05639913232104121,frozenset({'CHILDRENS APRON SPACEBOY DESIGN'})
34,0.026030368763557483,frozenset({'CHILDRENS CUTLERY CIRCUS PARADE'})
35,0.06073752711496746,frozenset({'CHILDRENS CUTLERY DOLLY GIRL '})
36,0.0368763557483731,frozenset({'CHILDRENS CUTLERY POLKADOT PINK'})
37,0.021691973969631236,frozenset({'CHILDRENS CUTLERY RETROSPOT RED '})
38,0.05856832971800434,frozenset({'CHILDRENS CUTLERY SPACEBOY '})
39,0.0368763557483731,frozenset({'CHILDS BREAKFAST SET CIRCUS PARADE'})
40,0.028199566160520606,frozenset({'CHILDS BREAKFAST SET DOLLY GIRL '})
41,0.0368763557483731,frozenset({'CHILDS BREAKFAST SET SPACEBOY '})
42,0.04772234273318872,frozenset({'CIRCUS PARADE CHILDRENS EGG CUP '})
43,0.05856832971800434,frozenset({'CIRCUS PARADE LUNCH BOX '})
44,0.03470715835140998,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '})
45,0.05856832971800434,frozenset({'COFFEE MUG APPLES DESIGN'})
46,0.026030368763557483,frozenset({'COFFEE MUG CAT + BIRD DESIGN'})
47,0.039045553145336226,frozenset({'COFFEE MUG PEARS  DESIGN'})
48,0.039045553145336226,frozenset({'DOLLY GIRL CHILDRENS BOWL'})
49,0.03470715835140998,frozenset({'DOLLY GIRL CHILDRENS CUP'})
50,0.08459869848156182,frozenset({'DOLLY GIRL LUNCH BOX'})
51,0.03470715835140998,frozenset({'DOLLY GIRL MINI BACKPACK'})
52,0.021691973969631236,frozenset({'DOORMAT RED RETROSPOT'})
53,0.026030368763557483,frozenset({'DOORMAT UNION FLAG'})
54,0.028199566160520606,frozenset({'EASTER TIN BUNNY BOUQUET'})
55,0.039045553145336226,frozenset({'EDWARDIAN PARASOL BLACK'})
56,0.026030368763557483,frozenset({'EDWARDIAN PARASOL NATURAL'})
57,0.028199566160520606,frozenset({'EDWARDIAN PARASOL RED'})
58,0.028199566160520606,frozenset({'FAWN BLUE HOT WATER BOTTLE'})
59,0.028199566160520606,frozenset({'FELTCRAFT PRINCESS LOLA DOLL'})
60,0.0368763557483731,frozenset({'GINGERBREAD MAN COOKIE CUTTER'})
61,0.02386117136659436,frozenset({'GIRAFFE WOODEN RULER'})
62,0.049891540130151846,frozenset({'GUMBALL COAT RACK'})
63,0.0368763557483731,frozenset({'ICE CREAM BUBBLES'})
64,0.039045553145336226,frozenset({'ICE CREAM SUNDAE LIP GLOSS'})
65,0.0455531453362256,frozenset({'JAM MAKING SET PRINTED'})
66,0.026030368763557483,frozenset({'JAM MAKING SET WITH JARS'})
67,0.05639913232104121,frozenset({'JUMBO BAG APPLES'})
68,0.021691973969631236,frozenset({'JUMBO BAG DOILEY PATTERNS'})
69,0.02386117136659436,frozenset({'JUMBO BAG DOLLY GIRL DESIGN'})
70,0.03036876355748373,frozenset({'JUMBO BAG PEARS'})
71,0.03253796095444685,frozenset({'JUMBO BAG PINK POLKADOT'})
72,0.0824295010845987,frozenset({'JUMBO BAG RED RETROSPOT'})
73,0.05422993492407809,frozenset({'JUMBO BAG SPACEBOY DESIGN'})
74,0.04121475054229935,frozenset({'JUMBO BAG VINTAGE DOILY '})
75,0.03470715835140998,frozenset({'JUMBO BAG VINTAGE LEAF'})
76,0.0650759219088937,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
77,0.03036876355748373,frozenset({'JUMBO STORAGE BAG SUKI'})
78,0.03470715835140998,frozenset({'LONDON BUS COFFEE MUG'})
79,0.028199566160520606,frozenset({'LUNCH BAG  BLACK SKULL.'})
80,0.10629067245119306,frozenset({'LUNCH BAG APPLE DESIGN'})
81,0.02386117136659436,frozenset({'LUNCH BAG CARS BLUE'})
82,0.028199566160520606,frozenset({'LUNCH BAG DOILEY PATTERN '})
83,0.07158351409978309,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'})
84,0.03470715835140998,frozenset({'LUNCH BAG PINK POLKADOT'})
85,0.1301518438177874,frozenset({'LUNCH BAG RED RETROSPOT'})
86,0.1019522776572668,frozenset({'LUNCH BAG SPACEBOY DESIGN '})
87,0.04121475054229935,frozenset({'LUNCH BAG SUKI DESIGN '})
88,0.04338394793926247,frozenset({'LUNCH BAG VINTAGE DOILY '})
89,0.021691973969631236,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'})
90,0.09978308026030369,frozenset({'LUNCH BAG WOODLAND'})
91,0.05856832971800434,frozenset({'LUNCH BOX I LOVE LONDON'})
92,0.12147505422993492,frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT '})
93,0.03470715835140998,frozenset({'MAGNETS PACK OF 4 SWALLOWS'})
94,0.02386117136659436,frozenset({'MINI JIGSAW CIRCUS PARADE '})
95,0.03253796095444685,frozenset({'MINI JIGSAW SPACEBOY'})
96,0.04338394793926247,frozenset({'MINI LIGHTS WOODLAND MUSHROOMS'})
97,0.08893709327548807,frozenset({'MINI PAINT SET VINTAGE '})
98,0.04338394793926247,frozenset({'PACK OF 20 NAPKINS RED APPLES'})
99,0.04121475054229935,frozenset({'PACK OF 20 SKULL PAPER NAPKINS'})
100,0.05422993492407809,frozenset({'PACK OF 6 SKULL PAPER CUPS'})
101,0.04772234273318872,frozenset({'PACK OF 6 SKULL PAPER PLATES'})
102,0.03253796095444685,frozenset({'PACK OF 60 MUSHROOM CAKE CASES'})
103,0.026030368763557483,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'})
104,0.021691973969631236,frozenset({'PACK OF 60 SPACEBOY CAKE CASES'})
105,0.08676789587852494,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
106,0.021691973969631236,frozenset({'PACK OF 72 SKULL CAKE CASES'})
107,0.06941431670281996,frozenset({'PAPER BUNTING RETROSPOT'})
108,0.04772234273318872,frozenset({'PARTY BUNTING'})
109,0.028199566160520606,frozenset({'PICNIC BOXES SET OF 3 RETROSPOT '})
110,0.021691973969631236,frozenset({'PICTURE DOMINOES'})
111,0.026030368763557483,frozenset({'PIGGY BANK RETROSPOT '})
112,0.021691973969631236,frozenset({'PINK  POLKADOT CUP'})
113,0.14316702819956617,frozenset({'PLASTERS IN TIN CIRCUS PARADE '})
114,0.04772234273318872,frozenset({'PLASTERS IN TIN SKULLS'})
115,0.11713665943600868,frozenset({'PLASTERS IN TIN SPACEBOY'})
116,0.06941431670281996,frozenset({'PLASTERS IN TIN STRONGMAN'})
117,0.03253796095444685,frozenset({'PLASTERS IN TIN VINTAGE PAISLEY '})
118,0.14533622559652928,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'})
119,0.02386117136659436,frozenset({'POPCORN HOLDER'})
120,0.028199566160520606,"frozenset({""POPPY'S PLAYHOUSE BATHROOM""})"
121,0.0368763557483731,"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})"
122,0.052060737527114966,"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})"
123,0.03036876355748373,"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})"
124,0.6507592190889371,frozenset({'POSTAGE'})
125,0.02386117136659436,frozenset({'QUEENS GUARD COFFEE MUG'})
126,0.16052060737527116,frozenset({'RABBIT NIGHT LIGHT'})
127,0.02386117136659436,frozenset({'RAINY LADIES BIRTHDAY CARD'})
128,0.021691973969631236,frozenset({'RECYCLED ACAPULCO MAT LAVENDER'})
129,0.021691973969631236,frozenset({'RECYCLED ACAPULCO MAT PINK'})
130,0.026030368763557483,frozenset({'RECYCLED ACAPULCO MAT RED'})
131,0.026030368763557483,frozenset({'RECYCLED ACAPULCO MAT TURQUOISE'})
132,0.021691973969631236,frozenset({'RECYCLING BAG RETROSPOT '})
133,0.05856832971800434,frozenset({'RED  HARMONICA IN BOX '})
134,0.03253796095444685,frozenset({'RED RETROSPOT BOWL'})
135,0.021691973969631236,frozenset({'RED RETROSPOT BUTTER DISH'})
136,0.04121475054229935,frozenset({'RED RETROSPOT CAKE STAND'})
137,0.0824295010845987,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
138,0.05856832971800434,frozenset({'RED RETROSPOT CHILDRENS UMBRELLA'})
139,0.04121475054229935,frozenset({'RED RETROSPOT CUP'})
140,0.11713665943600868,frozenset({'RED RETROSPOT MINI CASES'})
141,0.06073752711496746,frozenset({'RED RETROSPOT PICNIC BAG'})
142,0.028199566160520606,frozenset({'RED RETROSPOT PLATE '})
143,0.028199566160520606,frozenset({'RED RETROSPOT SHOPPING BAG'})
144,0.02386117136659436,frozenset({'RED RETROSPOT SMALL MILK JUG'})
145,0.021691973969631236,frozenset({'RED RETROSPOT TAPE'})
146,0.03253796095444685,frozenset({'RED RETROSPOT UMBRELLA'})
147,0.1540130151843818,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
148,0.026030368763557483,frozenset({'RED VINTAGE SPOT BEAKER'})
149,0.10629067245119306,frozenset({'REGENCY CAKESTAND 3 TIER'})
150,0.04772234273318872,frozenset({'RETROSPOT CHILDRENS APRON'})
151,0.021691973969631236,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'})
152,0.052060737527114966,frozenset({'RETROSPOT PARTY BAG + STICKER SET'})
153,0.0737527114967462,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC '})
154,0.04772234273318872,frozenset({'REVOLVER WOODEN RULER '})
155,0.03470715835140998,frozenset({'ROBOT BIRTHDAY CARD'})
156,0.02386117136659436,frozenset({'ROSES REGENCY TEACUP AND SAUCER '})
157,0.0911062906724512,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS '})
158,0.13449023861171366,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '})
159,0.021691973969631236,frozenset({'SET 12 COLOUR PENCILS SPACEBOY '})
160,0.021691973969631236,frozenset({'SET 2 TEA TOWELS I LOVE LONDON '})
161,0.02386117136659436,frozenset({'SET 7 BABUSHKA NESTING BOXES'})
162,0.03253796095444685,frozenset({'SET OF 10 LED DOLLY LIGHTS'})
163,0.03036876355748373,frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'})
164,0.026030368763557483,frozenset({'SET OF 12 MINI LOAF BAKING CASES'})
165,0.05856832971800434,frozenset({'SET OF 2 TEA TOWELS APPLE AND PEARS'})
166,0.039045553145336226,frozenset({'SET OF 20 KIDS COOKIE CUTTERS'})
167,0.028199566160520606,frozenset({'SET OF 3 REGENCY CAKE TINS'})
168,0.0368763557483731,frozenset({'SET OF 4 KNICK KNACK TINS LONDON '})
169,0.021691973969631236,frozenset({'SET OF 5 LUCKY CAT MAGNETS '})
170,0.026030368763557483,frozenset({'SET OF 5 PANCAKE DAY MAGNETS'})
171,0.026030368763557483,frozenset({'SET OF 6 SOLDIER SKITTLES'})
172,0.026030368763557483,frozenset({'SET OF 6 TEA TIME BAKING CASES'})
173,0.021691973969631236,frozenset({'SET OF 60 I LOVE LONDON CAKE CASES '})
174,0.028199566160520606,frozenset({'SET OF 72 RETROSPOT PAPER  DOILIES'})
175,0.05639913232104121,frozenset({'SET OF 9 BLACK SKULL BALLOONS'})
176,0.05639913232104121,frozenset({'SET OF 9 HEART SHAPED BALLOONS'})
177,0.0368763557483731,frozenset({'SET OF SALT AND PEPPER TOADSTOOLS'})
178,0.03036876355748373,frozenset({'SET/10 BLUE POLKADOT PARTY CANDLES'})
179,0.04121475054229935,frozenset({'SET/10 PINK POLKADOT PARTY CANDLES'})
180,0.0650759219088937,frozenset({'SET/10 RED POLKADOT PARTY CANDLES'})
181,0.11279826464208242,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS '})
182,0.11713665943600868,frozenset({'SET/6 RED SPOTTY PAPER CUPS'})
183,0.10845986984815618,frozenset({'SET/6 RED SPOTTY PAPER PLATES'})
184,0.021691973969631236,frozenset({'SKULL AND CROSSBONES  GARLAND '})
185,0.04338394793926247,frozenset({'SKULL LUNCH BOX WITH CUTLERY '})
186,0.028199566160520606,frozenset({'SKULLS  WATER TRANSFER TATTOOS '})
187,0.0455531453362256,frozenset({'SMALL RED RETROSPOT WINDMILL'})
188,0.06073752711496746,frozenset({'SPACEBOY BIRTHDAY CARD'})
189,0.04338394793926247,frozenset({'SPACEBOY CHILDRENS BOWL'})
190,0.028199566160520606,frozenset({'SPACEBOY CHILDRENS CUP'})
191,0.021691973969631236,frozenset({'SPACEBOY CHILDRENS EGG CUP'})
192,0.10629067245119306,frozenset({'SPACEBOY LUNCH BOX '})
193,0.03253796095444685,frozenset({'SPACEBOY MINI BACKPACK'})
194,0.0368763557483731,frozenset({'SPOTTY BUNTING'})
195,0.028199566160520606,frozenset({'STARS GIFT TAPE '})
196,0.10412147505422993,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'})
197,0.04121475054229935,frozenset({'TABLECLOTH RED APPLES DESIGN '})
198,0.02386117136659436,frozenset({'TEA BAG PLATE RED RETROSPOT'})
199,0.08026030368763558,frozenset({'TEA PARTY BIRTHDAY CARD'})
200,0.021691973969631236,frozenset({'TOADSTOOL MONEY BOX'})
201,0.02386117136659436,frozenset({'VINTAGE HEADS AND TAILS CARD GAME '})
202,0.0368763557483731,frozenset({'WATERING CAN BLUE ELEPHANT'})
203,0.049891540130151846,frozenset({'WATERING CAN PINK BUNNY'})
204,0.06290672451193059,frozenset({'WOODLAND CHARLOTTE BAG'})
205,0.03470715835140998,frozenset({'WOODLAND MINI BACKPACK'})
206,0.03253796095444685,frozenset({'WOODLAND PARTY BAG + STICKER SET'})
207,0.02386117136659436,frozenset({'WORLD WAR 2 GLIDERS ASSTD DESIGNS'})
208,0.02386117136659436,frozenset({'WRAP  VINTAGE DOILY '})
209,0.026030368763557483,frozenset({'WRAP RED APPLES '})
210,0.026030368763557483,"frozenset({'POSTAGE', '10 COLOUR SPACEBOY PEN'})"
211,0.028199566160520606,"frozenset({'POSTAGE', '3 PIECE SPACEBOY COOKIE CUTTER SET'})"
212,0.021691973969631236,"frozenset({'36 PENCILS TUBE RED RETROSPOT', 'POSTAGE'})"
